topic,category
simultaneous translation of parliamentary debates,Government and Parliamentary Affairs
marginalization of french language in federal departments,Government and Parliamentary Affairs
Dominion Franchise Act voter registration procedures,Government and Parliamentary Affairs
distribution of military canteen profits,Veterans' and Military Affairs
Canadian naval service reorganization and policy,Veterans' and Military Affairs
appointment of election returning officers,Government and Parliamentary Affairs
federal control of the dominion franchise,Government and Parliamentary Affairs
Dominion Franchise Act electoral procedures,Government and Parliamentary Affairs
construction costs of Parliament Buildings,Government and Parliamentary Affairs
Dominion franchise act enumeration procedures,Government and Parliamentary Affairs
government shipbuilding contracts and tendering processes,Government and Parliamentary Affairs
Dominion franchise act voter registration procedures,Government and Parliamentary Affairs
Dominion Franchise Act legislation,Government and Parliamentary Affairs
Dominion Franchise Act voter disqualifications,Government and Parliamentary Affairs
government response to parliamentary questions,Government and Parliamentary Affairs
disfranchisement provisions of the Dominion Franchise Act,Government and Parliamentary Affairs
Dominion Franchise Act naturalization provisions,Government and Parliamentary Affairs
Dominion franchise act legislation,Government and Parliamentary Affairs
appointment of revising officers under Dominion Franchise Act,Government and Parliamentary Affairs
parliamentary control of interim supply expenditures,Public Finance and Taxation
enfranchisement of foreign-born Canadians,Government and Parliamentary Affairs
disenfranchisement of immigrant groups in the Dominion Franchise Act,Government and Parliamentary Affairs
proposed dominion franchise act legislation,Government and Parliamentary Affairs
Dominion Franchise Act and naturalization requirements,Government and Parliamentary Affairs
interim supply motion for government expenditures,Public Finance and Taxation
inquiry regarding Canadian public debt statistics,Public Finance and Taxation
disfranchisement of naturalized citizens of enemy origin,Government and Parliamentary Affairs
delay in parliamentary session and supply,Government and Parliamentary Affairs
Dominion Franchise Act debate,Government and Parliamentary Affairs
disenfranchisement of enemy aliens in the dominion franchise act,Government and Parliamentary Affairs
Dominion franchise act eligibility provisions,Government and Parliamentary Affairs
voting rights for naturalized citizens,Government and Parliamentary Affairs
administration of federal election notices,Government and Parliamentary Affairs
methods of posting election notices,Government and Parliamentary Affairs
Dominion Franchise Act amendments,Government and Parliamentary Affairs
Dominion Franchise Act prosecution procedures,Government and Parliamentary Affairs
Dominion Franchise Act voting eligibility requirements,Government and Parliamentary Affairs
proposed amendments to the Dominion Franchise Act,Government and Parliamentary Affairs
restrictions on the federal franchise,Government and Parliamentary Affairs
voting rights for naturalized immigrants and families,Government and Parliamentary Affairs
penalties for Dominion Franchise Act offences,Government and Parliamentary Affairs
administration of the Dominion Franchise Act,Government and Parliamentary Affairs
Dominion Franchise Act electoral machinery reform,Government and Parliamentary Affairs
regulation of corporate political contributions,Government and Parliamentary Affairs
administration of oaths for federal elections,Government and Parliamentary Affairs
interim supply motion,Public Finance and Taxation
provisions for summary conviction under election law,Government and Parliamentary Affairs
Dominion Franchise Act and returning officer appointments,Government and Parliamentary Affairs
Dominion Franchise Act revision,Government and Parliamentary Affairs
taxation of Canadian Government Merchant Marine ships,Public Finance and Taxation
Canadian Government Mercantile Marine freight operations,Transportation and Communications
emergency food supplies to Magdalen Islands,Agriculture and Food Policy
government operation of the Canadian Mercantile Marine,Transportation and Communications
federal shipbuilding programme expenditure and chartering,Transportation and Communications
